spB_x, spB_y, spB_z, spM_x, spM_y, spM_z, spT_x, spT_y, spT_z, weight, z_vertex

Event: 0
-3.31801,-32.587,-62.975,-6.9512,-69.0251,-62.125,-16.5558,-168.949,-59.725,199.991,-63.7353
-3.31801,-32.587,-62.975,-11.3058,-113.356,-61.075,-16.5558,-168.949,-59.725,-0.0254763,-63.7418
-6.81362,-67.3732,-62.175,-11.3058,-113.356,-61.075,-16.5558,-168.949,-59.725,-0.0129092,-63.7872
-6.9512,-69.0251,-62.125,-11.3058,-113.356,-61.075,-16.5558,-168.949,-59.725,-0.125429,-63.7603
28.5885,-16.4236,-54.825,58.801,-33.7278,-45.375,99.6372,-56.9326,-32.639,199.95,-63.7737
28.5885,-16.4236,-54.825,58.801,-33.7278,-45.375,147.236,-83.8175,-17.8191,199.965,-63.7737
28.5885,-16.4236,-54.825,58.801,-33.7278,-45.375,148.617,-84.5505,-17.3855,199.959,-63.7737
28.5885,-16.4236,-54.825,99.6372,-56.9326,-32.639,147.236,-83.8175,-17.8191,-0.00454046,-63.7688
28.5885,-16.4236,-54.825,99.6372,-56.9326,-32.639,148.617,-84.5505,-17.3855,-0.0231176,-63.7688
58.801,-33.7278,-45.375,99.6372,-56.9326,-32.639,147.236,-83.8175,-17.8191,-0.0751916,-63.7561
58.801,-33.7278,-45.375,99.6372,-56.9326,-32.639,148.617,-84.5505,-17.3855,-0.023628,-63.7561
-29.2004,14.2358,-85.8014,-61.881,30.083,-110.447,-102.425,49.5994,-140.987,199.99,-63.7578
-29.2004,14.2358,-85.8014,-61.881,30.083,-110.447,-152.753,73.6729,-178.848,200,-63.7578
-29.2004,14.2358,-85.8014,-61.881,30.083,-110.447,-154.325,74.4303,-180.042,199.999,-63.7578
-29.2004,14.2358,-85.8014,-102.425,49.5994,-140.987,-152.753,73.6729,-178.848,-0.0195055,-63.7553
-29.2004,14.2358,-85.8014,-102.425,49.5994,-140.987,-154.325,74.4303,-180.042,-0.023018,-63.7553
-61.881,30.083,-110.447,-102.425,49.5994,-140.987,-152.753,73.6729,-178.848,-0.0758903,-63.7481
-61.881,30.083,-110.447,-102.425,49.5994,-140.987,-154.325,74.4303,-180.042,-0.0855758,-63.7481

Event: 3
32.4194,-1.92808,37.675,68.6888,-4.1619,46.475,115.048,-7.14032,57.7349,199.997,29.8101
32.4194,-1.92808,37.675,68.6888,-4.1619,46.475,113.36,-7.00576,57.325,199.988,29.8101
32.4194,-1.92808,37.675,68.6888,-4.1619,46.475,169.519,-10.7622,70.9647,199.994,29.8101
32.4194,-1.92808,37.675,115.048,-7.14032,57.7349,169.519,-10.7622,70.9647,-0.0241813,29.8062
68.6888,-4.1619,46.475,115.048,-7.14032,57.7349,169.519,-10.7622,70.9647,-0.0751953,29.7955
32.4194,-1.92808,37.675,113.36,-7.00576,57.325,169.519,-10.7622,70.9647,-0.00559069,29.8061
68.6888,-4.1619,46.475,113.36,-7.00576,57.325,169.519,-10.7622,70.9647,-0.0379459,29.7947
30.2536,11.3995,17.171,64.0473,24.2274,3.025,106.743,40.5364,-14.8558,199.977,29.8235
30.2536,11.3995,17.171,64.0473,24.2274,3.025,158.344,60.4074,-36.5181,199.978,29.8235
30.2536,11.3995,17.171,64.0473,24.2274,3.025,159.854,61.0058,-37.1448,199.981,29.8235
30.2536,11.3995,17.171,106.743,40.5364,-14.8558,158.344,60.4074,-36.5181,-0.0191255,29.8211
30.2536,11.3995,17.171,106.743,40.5364,-14.8558,159.854,61.0058,-37.1448,-0.0128841,29.8211
64.0473,24.2274,3.025,106.743,40.5364,-14.8558,158.344,60.4074,-36.5181,-0.0123359,29.8147
64.0473,24.2274,3.025,106.743,40.5364,-14.8558,159.854,61.0058,-37.1448,-0.00549649,29.8147
1.92808,32.4194,38.725,4.1619,68.6888,48.6989,7.00576,113.36,60.975,199.988,29.811
1.92808,32.4194,38.725,4.1619,68.6888,48.6989,7.14032,115.048,61.4463,199.997,29.811
1.92808,32.4194,38.725,4.1619,68.6888,48.6989,10.8321,170.367,76.6632,199.996,29.811
1.92808,32.4194,38.725,7.00576,113.36,60.975,10.8321,170.367,76.6632,-0.0110731,29.8149
4.1619,68.6888,48.6989,7.00576,113.36,60.975,10.8321,170.367,76.6632,-0.0535958,29.826
1.92808,32.4194,38.725,7.14032,115.048,61.4463,10.8321,170.367,76.6632,-0.0181374,29.8123
4.1619,68.6888,48.6989,7.14032,115.048,61.4463,10.8321,170.367,76.6632,-0.0576497,29.8157
-31.6647,5.42397,0.802448,-67.0223,11.4002,-31.5752,-113.35,19.1058,-73.9539,199.998,29.8093
-31.6647,5.42397,0.802448,-67.0223,11.4002,-31.5752,-167.953,28.0413,-123.883,199.993,29.8093
-32.866,5.63145,-0.311947,-67.0223,11.4002,-31.5752,-113.35,19.1058,-73.9539,199.99,29.7824
-32.866,5.63145,-0.311947,-67.0223,11.4002,-31.5752,-167.953,28.0413,-123.883,199.985,29.7824
-31.6647,5.42397,0.802448,-113.35,19.1058,-73.9539,-167.953,28.0413,-123.883,-0.0185734,29.7992
-32.866,5.63145,-0.311947,-113.35,19.1058,-73.9539,-167.953,28.0413,-123.883,-0.0246998,29.7794
-67.0223,11.4002,-31.5752,-113.35,19.1058,-73.9539,-167.953,28.0413,-123.883,-0.0498808,29.7717

Event: 4
-31.8508,-2.78776,-30.4773,-67.4677,-5.96475,-52.1859,-114.211,-10.2753,-80.683,199.975,-11.0671
-31.8508,-2.78776,-30.4773,-67.4677,-5.96475,-52.1859,-169.262,-15.5276,-114.244,199.979,-11.0671
-31.8508,-2.78776,-30.4773,-69.2231,-6.13483,-53.249,-114.211,-10.2753,-80.683,199.999,-11.0735
-31.8508,-2.78776,-30.4773,-69.2231,-6.13483,-53.249,-169.262,-15.5276,-114.244,199.995,-11.0735
-31.8508,-2.78776,-30.4773,-114.211,-10.2753,-80.683,-169.262,-15.5276,-114.244,-0.0109228,-11.0674
-67.4677,-5.96475,-52.1859,-114.211,-10.2753,-80.683,-169.262,-15.5276,-114.244,-0.0158729,-11.0684
-69.2231,-6.13483,-53.249,-114.211,-10.2753,-80.683,-169.262,-15.5276,-114.244,-0.0297708,-11.0493
26.1754,20.079,-18.125,53.7276,41.3421,-25.575,89.9606,69.4034,-35.3878,199.951,-11.0632
26.1754,20.079,-18.125,53.7276,41.3421,-25.575,91.3506,70.5017,-35.775,199.96,-11.0632
26.1754,20.079,-18.125,53.7276,41.3421,-25.575,134.342,104.024,-47.4345,199.963,-11.0632
26.1754,20.079,-18.125,89.9606,69.4034,-35.3878,134.342,104.024,-47.4345,-0.0123729,-11.0622
53.7276,41.3421,-25.575,89.9606,69.4034,-35.3878,134.342,104.024,-47.4345,-0.0515319,-11.0594
26.1754,20.079,-18.125,91.3506,70.5017,-35.775,134.342,104.024,-47.4345,-0.0299234,-11.059
53.7276,41.3421,-25.575,91.3506,70.5017,-35.775,134.342,104.024,-47.4345,-0.0123038,-11.0481
-8.00001,31.2223,34.4317,-16.7791,65.7388,84.6735,-28.0357,110.601,149.916,199.971,-11.0358
-8.00001,31.2223,34.4317,-16.7791,65.7388,84.6735,-41.36,164.311,227.956,199.982,-11.0358
-8.00001,31.2223,34.4317,-16.7791,65.7388,84.6735,-41.7424,165.851,230.199,199.983,-11.0358
-8.19691,32.0563,35.6551,-16.7791,65.7388,84.6735,-28.0357,110.601,149.916,199.927,-11.007
-8.19691,32.0563,35.6551,-16.7791,65.7388,84.6735,-41.36,164.311,227.956,199.944,-11.007
-8.19691,32.0563,35.6551,-16.7791,65.7388,84.6735,-41.7424,165.851,230.199,199.945,-11.007
-8.00001,31.2223,34.4317,-28.0357,110.601,149.916,-41.36,164.311,227.956,-0.00647581,-11.0335
-8.00001,31.2223,34.4317,-28.0357,110.601,149.916,-41.7424,165.851,230.199,-0.00791817,-11.0335
-8.19691,32.0563,35.6551,-28.0357,110.601,149.916,-41.36,164.311,227.956,-0.0202341,-11.0127
-8.19691,32.0563,35.6551,-28.0357,110.601,149.916,-41.7424,165.851,230.199,-0.0186842,-11.0127
-16.7791,65.7388,84.6735,-28.0357,110.601,149.916,-41.36,164.311,227.956,-0.07198,-11.0275
-16.7791,65.7388,84.6735,-28.0357,110.601,149.916,-41.7424,165.851,230.199,-0.0756609,-11.0275
-30.6817,8.93909,-57.9283,-64.9783,19.008,-110.322,-110.245,32.4308,-179.541,199.995,-11.0852
-30.6817,8.93909,-57.9283,-64.9783,19.008,-110.322,-162.605,48.1542,-259.627,199.994,-11.0852
-30.6817,8.93909,-57.9283,-64.9783,19.008,-110.322,-164.272,48.6614,-262.188,199.993,-11.0852
-30.6817,8.93909,-57.9283,-66.4083,19.4268,-112.49,-110.245,32.4308,-179.541,199.989,-11.0994
-30.6817,8.93909,-57.9283,-66.4083,19.4268,-112.49,-162.605,48.1542,-259.627,199.99,-11.0994
-30.6817,8.93909,-57.9283,-66.4083,19.4268,-112.49,-164.272,48.6614,-262.188,199.989,-11.0994
-30.6817,8.93909,-57.9283,-110.245,32.4308,-179.541,-162.605,48.1542,-259.627,-0.00838872,-11.081
-30.6817,8.93909,-57.9283,-110.245,32.4308,-179.541,-164.272,48.6614,-262.188,-0.00985085,-11.081
-64.9783,19.008,-110.322,-110.245,32.4308,-179.541,-162.605,48.1542,-259.627,-0.0148155,-11.0694
-64.9783,19.008,-110.322,-110.245,32.4308,-179.541,-164.272,48.6614,-262.188,-0.0189384,-11.0694
-66.4083,19.4268,-112.49,-110.245,32.4308,-179.541,-162.605,48.1542,-259.627,-0.00333861,-11.0271
-66.4083,19.4268,-112.49,-110.245,32.4308,-179.541,-164.272,48.6614,-262.188,-0.00769357,-11.0271

Event: 5
-31.9645,-1.8446,-38.5371,-67.7251,-3.83021,17.4419,-113.432,-6.26259,89.0459,199.992,-88.58
-31.9645,-1.8446,-38.5371,-67.7251,-3.83021,17.4419,-115.168,-6.37869,91.7678,199.977,-88.58
-31.9645,-1.8446,-38.5371,-67.7251,-3.83021,17.4419,-170.56,-9.14536,178.511,199.99,-88.58
-31.9645,-1.8446,-38.5371,-113.432,-6.26259,89.0459,-170.56,-9.14536,178.511,-0.0124817,-88.6051
-67.7251,-3.83021,17.4419,-113.432,-6.26259,89.0459,-170.56,-9.14536,178.511,-0.0200804,-88.6752
-31.9645,-1.8446,-38.5371,-115.168,-6.37869,91.7678,-170.56,-9.14536,178.511,-0.0180881,-88.6055
-67.7251,-3.83021,17.4419,-115.168,-6.37869,91.7678,-170.56,-9.14536,178.511,-0.0936717,-88.6749
12.6673,29.639,-105.046,26.7707,62.8073,-123.499,44.9004,105.676,-147.32,199.992,-88.5438
12.6673,29.639,-105.046,26.7707,62.8073,-123.499,66.0279,156.075,-175.283,199.999,-88.5438
12.6673,29.639,-105.046,26.7707,62.8073,-123.499,66.6512,157.569,-176.105,199.999,-88.5438
12.6673,29.639,-105.046,44.9004,105.676,-147.32,66.0279,156.075,-175.283,-0.0131714,-88.5474
12.6673,29.639,-105.046,44.9004,105.676,-147.32,66.6512,157.569,-176.105,-0.0130894,-88.5474
26.7707,62.8073,-123.499,44.9004,105.676,-147.32,66.0279,156.075,-175.283,-0.0521155,-88.5571
26.7707,62.8073,-123.499,44.9004,105.676,-147.32,66.6512,157.569,-176.105,-0.0516343,-88.5571
0.697881,32.2711,-183.937,1.58059,68.3775,-290.666,2.8216,114.527,-427.133,-0.025524,-88.5523
-20.1407,26.0967,-153.678,-41.4559,53.63,-222.528,-69.6655,89.7288,-313.112,199.923,-88.4958
-20.1407,26.0967,-153.678,-41.4559,53.63,-222.528,-70.714,91.1113,-316.538,199.94,-88.4958
-20.1407,26.0967,-153.678,-41.4559,53.63,-222.528,-104.907,134.662,-426.001,199.96,-88.4958
-20.1407,26.0967,-153.678,-69.6655,89.7288,-313.112,-104.907,134.662,-426.001,-0.0328356,-88.4981
-41.4559,53.63,-222.528,-69.6655,89.7288,-313.112,-104.907,134.662,-426.001,-0.22464,-88.504
-20.1407,26.0967,-153.678,-70.714,91.1113,-316.538,-104.907,134.662,-426.001,-0.00116193,-88.4999
-41.4559,53.63,-222.528,-70.714,91.1113,-316.538,-104.907,134.662,-426.001,-0.107636,-88.5103

Event: 6
20.5111,-25.6247,-26.0948,42.4046,-52.8161,-15.0663,107.015,-132.47,17.375,-0.0357465,-36.464
20.5111,-25.6247,-26.0948,43.5145,-54.2056,-14.49,107.015,-132.47,17.375,-0.0226783,-36.4769
-14.4158,28.5557,-39.8352,-30.4581,60.54,-43.575,-51.3014,102.323,-48.475,199.974,-36.4918
-14.4158,28.5557,-39.8352,-30.4581,60.54,-43.575,-75.8398,151.936,-54.305,199.98,-36.4918
-14.4158,28.5557,-39.8352,-31.3614,62.2898,-43.8068,-51.3014,102.323,-48.475,199.972,-36.4698
-14.4158,28.5557,-39.8352,-31.3614,62.2898,-43.8068,-75.8398,151.936,-54.305,199.984,-36.4698
-14.4158,28.5557,-39.8352,-51.3014,102.323,-48.475,-75.8398,151.936,-54.305,-0.00678784,-36.4842
-30.4581,60.54,-43.575,-51.3014,102.323,-48.475,-75.8398,151.936,-54.305,-0.0291204,-36.4632
-30.1565,10.817,-39.025,-63.9009,22.8601,-41.875,-107.325,38.2333,-45.575,199.984,-36.4766
-30.1565,10.817,-39.025,-63.9009,22.8601,-41.875,-160.798,56.9708,-50.075,199.984,-36.4766
-30.5201,9.51692,-0.598423,-64.6281,20.2599,39.5745,-108.341,34.1252,91.0997,199.962,-36.5131
-30.5201,9.51692,-0.598423,-64.6281,20.2599,39.5745,-109.977,34.6197,93.0287,199.948,-36.5131
-30.5201,9.51692,-0.598423,-64.6281,20.2599,39.5745,-161.962,51.289,154.367,199.963,-36.5131
-30.5201,9.51692,-0.598423,-66.3053,20.7728,41.5565,-108.341,34.1252,91.0997,199.998,-36.5231
-30.5201,9.51692,-0.598423,-66.3053,20.7728,41.5565,-109.977,34.6197,93.0287,199.982,-36.5231
-30.5201,9.51692,-0.598423,-66.3053,20.7728,41.5565,-161.962,51.289,154.367,199.986,-36.5231
-30.1565,10.817,-39.025,-107.325,38.2333,-45.575,-160.798,56.9708,-50.075,-0.0167549,-36.4626
-30.5201,9.51692,-0.598423,-108.341,34.1252,91.0997,-161.962,51.289,154.367,-0.0349861,-36.5154
-64.6281,20.2599,39.5745,-108.341,34.1252,91.0997,-161.962,51.289,154.367,-0.02922,-36.5223
-66.3053,20.7728,41.5565,-108.341,34.1252,91.0997,-161.962,51.289,154.367,-0.0996962,-36.4924
-30.5201,9.51692,-0.598423,-109.977,34.6197,93.0287,-161.962,51.289,154.367,-0.00472538,-36.519
-64.6281,20.2599,39.5745,-109.977,34.6197,93.0287,-161.962,51.289,154.367,-0.0829659,-36.5353
-66.3053,20.7728,41.5565,-109.977,34.6197,93.0287,-161.962,51.289,154.367,-0.0214099,-36.5069

Event: 7
-29.316,-13.0651,10.9196,-62.1342,-27.6259,-14.4017,-103.933,-45.9019,-46.6504,-0.0914101,33.5553
-29.316,-13.0651,10.9196,-62.1342,-27.6259,-14.4017,-103.886,-45.9905,-46.5767,199.967,33.5553
-29.316,-13.0651,10.9196,-62.1342,-27.6259,-14.4017,-105.5,-46.6901,-47.8076,199.964,33.5553
-29.316,-13.0651,10.9196,-62.1342,-27.6259,-14.4017,-155.516,-68.534,-86.3286,199.979,33.5553
-29.316,-13.0651,10.9196,-103.886,-45.9905,-46.5767,-155.516,-68.534,-86.3286,-0.00204121,33.5578
-62.1342,-27.6259,-14.4017,-103.886,-45.9905,-46.5767,-155.516,-68.534,-86.3286,-0.0671341,33.5648
-29.316,-13.0651,10.9196,-105.5,-46.6901,-47.8076,-155.516,-68.534,-86.3286,-0.0111221,33.554
-62.1342,-27.6259,-14.4017,-105.5,-46.6901,-47.8076,-155.516,-68.534,-86.3286,-0.0995244,33.5504
16.7686,-27.2313,46.6586,36.0292,-58.2854,61.6331,59.783,-96.4789,80.0632,199.93,33.5537
16.7686,-27.2313,46.6586,36.0292,-58.2854,61.6331,60.5857,-97.7594,80.6902,199.933,33.5537
16.7686,-27.2313,46.6586,36.0292,-58.2854,61.6331,89.5795,-144.021,103.069,199.947,33.5537
16.7686,-27.2313,46.6586,36.0292,-58.2854,61.6331,90.5144,-145.512,103.791,199.947,33.5537
17.8744,-28.9845,47.5092,36.0292,-58.2854,61.6331,59.783,-96.4789,80.0632,199.978,33.556
17.8744,-28.9845,47.5092,36.0292,-58.2854,61.6331,60.5857,-97.7594,80.6902,199.98,33.556
17.8744,-28.9845,47.5092,36.0292,-58.2854,61.6331,89.5795,-144.021,103.069,199.99,33.556
17.8744,-28.9845,47.5092,36.0292,-58.2854,61.6331,90.5144,-145.512,103.791,199.99,33.556
16.7686,-27.2313,46.6586,59.783,-96.4789,80.0632,89.5795,-144.021,103.069,-0.0187919,33.5541
16.7686,-27.2313,46.6586,59.783,-96.4789,80.0632,90.5144,-145.512,103.791,-0.0198953,33.5541
17.8744,-28.9845,47.5092,59.783,-96.4789,80.0632,89.5795,-144.021,103.069,-0.0151407,33.5558
17.8744,-28.9845,47.5092,59.783,-96.4789,80.0632,90.5144,-145.512,103.791,-0.0138607,33.5558
36.0292,-58.2854,61.6331,59.783,-96.4789,80.0632,89.5795,-144.021,103.069,-0.0785413,33.5552
36.0292,-58.2854,61.6331,59.783,-96.4789,80.0632,90.5144,-145.512,103.791,-0.0746642,33.5552
16.7686,-27.2313,46.6586,60.5857,-97.7594,80.6902,89.5795,-144.021,103.069,-0.0217511,33.5512
16.7686,-27.2313,46.6586,60.5857,-97.7594,80.6902,90.5144,-145.512,103.791,-0.0228372,33.5512
17.8744,-28.9845,47.5092,60.5857,-97.7594,80.6902,89.5795,-144.021,103.069,-0.0117108,33.5526
17.8744,-28.9845,47.5092,60.5857,-97.7594,80.6902,90.5144,-145.512,103.791,-0.0104508,33.5526
36.0292,-58.2854,61.6331,60.5857,-97.7594,80.6902,89.5795,-144.021,103.069,-0.0653162,33.5439
36.0292,-58.2854,61.6331,60.5857,-97.7594,80.6902,90.5144,-145.512,103.791,-0.0615605,33.5439
10.9868,30.109,-0.419456,23.1972,63.8067,-38.3794,38.7493,107.198,-87.2695,-0.0203403,33.5257
10.9868,30.109,-0.419456,38.7493,107.198,-87.2695,57.4777,159.838,-146.521,-0.0325393,33.5538
23.1972,63.8067,-38.3794,38.7493,107.198,-87.2695,57.4777,159.838,-146.521,-0.131038,33.6317
-30.0029,11.3663,63.8604,-63.5777,24.0158,97.701,-106.841,40.1923,141.267,199.992,33.5992
-30.0029,11.3663,63.8604,-63.5777,24.0158,97.701,-158.684,59.4273,193.436,199.997,33.5992
-30.0029,11.3663,63.8604,-63.5777,24.0158,97.701,-160.183,59.9683,194.93,199.995,33.5992
-30.0029,11.3663,63.8604,-106.841,40.1923,141.267,-158.684,59.4273,193.436,-0.00692733,33.5989
-30.0029,11.3663,63.8604,-106.841,40.1923,141.267,-160.183,59.9683,194.93,-0.0014538,33.5989
-63.5777,24.0158,97.701,-106.841,40.1923,141.267,-158.684,59.4273,193.436,-0.0339166,33.598
-63.5777,24.0158,97.701,-106.841,40.1923,141.267,-160.183,59.9683,194.93,-0.0181192,33.598

Event: 8
-15.4928,-28.8488,-43.296,-31.9884,-59.6824,-53.1006,-53.8524,-100.808,-66.175,199.981,-34.1147
-15.4928,-28.8488,-43.296,-31.9884,-59.6824,-53.1006,-79.6602,-149.706,-81.675,199.983,-34.1147
-15.4928,-28.8488,-43.296,-31.9884,-59.6824,-53.1006,-80.4417,-151.25,-82.1685,199.979,-34.1147
-15.4928,-28.8488,-43.296,-32.7547,-61.1338,-53.5619,-53.8524,-100.808,-66.175,199.997,-34.1137
-15.4928,-28.8488,-43.296,-32.7547,-61.1338,-53.5619,-79.6602,-149.706,-81.675,199.994,-34.1137
-15.4928,-28.8488,-43.296,-32.7547,-61.1338,-53.5619,-80.4417,-151.25,-82.1685,199.99,-34.1137
-15.4928,-28.8488,-43.296,-53.8524,-100.808,-66.175,-79.6602,-149.706,-81.675,-0.0119408,-34.1086
